Original Title,Japanese Title,Japanese Bracket Content,Bracket QID,English Label,Proposed New Title
Achi Shrine (Q11657447),阿智神社 (阿智村),阿智村,Q1203279,Achi,Achi Shrine (Achi)
Amanokaguyama Shrine (Q98082987),天香山神社,,,,
Amatsukasahiko Shrine (Q107410067),天津賀佐彦神社,,,,
Hachiman Shrine (Q134927474),八幡神社 (下田市吉佐美),下田市吉佐美,,,
Hajikami Shrine (Q11275441),㯮椒神社,,,,
Hakusan Shrine (Q11579589),白山神社 (三木町),三木町,Q1205980,Miki,Hakusan Shrine (Miki)
Hayabusa Shrine (Q135021848),隼神社 (京都市),京都市,Q34600,Kyoto,Hayabusa Shrine (Kyoto)
Hioki Shrine (Q11510250),日置神社 (高島市),高島市,Q845794,Takashima,Hioki Shrine (Takashima)
Hiruko Shrine (Q106852693),蛭子神社 (那賀町),那賀町,Q1205685,Naka,Hiruko Shrine (Naka)
Ii Shrine (Q11666643),飯神社,,,,
Ikeda Shrine (Q134926975),池田神社 (静岡市),静岡市,Q174691,Shizuoka,Ikeda Shrine (Shizuoka)
Ishizukuri Shrine (Q11676453),鹽津神社,,,,
Iwai Shrine (Q85882705),石坐神社,,,,
Izumi Shrine (Q11395685),出水神社 (加賀市),加賀市,Q120103,Kaga,Izumi Shrine (Kaga)
Kamo Shrine (Q106301088),加茂神社 (さいたま市),さいたま市,Q134635,Saitama,Kamo Shrine (Saitama)
Kanda Shrine (Q11590647),神田神社 (東白川村),東白川村,Q1202765,Higashishirakawa,Kanda Shrine (Higashishirakawa)
Kashima Shrine (Q135069030),鹿島神社 (香芝市),香芝市,Q696643,Kashiba,Kashima Shrine (Kashiba)
Kataoka Shrine (Q28682738),片岡神社 (吉田町),吉田町,Q1202789,Yoshida,Kataoka Shrine (Yoshida)
Kattamine Shrine (Q65249271),刈田嶺神社 (刈田岳),刈田岳,,,
Kawara Shrine (Q11667602),香春神社,,,,
Kawara Shrine (Q17209206),川原神社 (伊勢市),伊勢市,Q328067,Ise,Kawara Shrine (Ise)
Kawata Shrine (Q11479033),川田神社 (湖南市),湖南市,Q857194,Konan,Kawata Shrine (Konan)
Kinomiya Shrine (Q119929624),来宮神社 (伊豆市八幡),伊豆市八幡,,,
Kotoshironushi Shrine (Q48758503),事代主神社 (阿波市),阿波市,Q791587,Awa,Kotoshironushi Shrine (Awa)
Kumano Shrine (Q11568963),熊野神社 (高島市),高島市,Q845794,Takashima,Kumano Shrine (Takashima)
Kusanagi Shrine (Q11368944),久佐奈岐神社,,,,
Make Shrine (Q11498617),摩氣神社,,,,
Matsubara Shrine (Q11529439),松原神社 (春日井市),春日井市,Q26101,Kasugai,Matsubara Shrine (Kasugai)
Matsuo Shrine (Q11529679),松尾神社 (亀岡市),亀岡市,Q633996,Kameoka,Matsuo Shrine (Kameoka)
Mefu Shrine (Q11429659),売布神社 (松江市),松江市,Q207321,Matsue,Mefu Shrine (Matsue)
Mifune Shrine (Q17214615),御船神社 (多気町),多気町,Q1203963,Taki,Mifune Shrine (Taki)
Miho Shrine (Q11489249),御穂神社,,,,
Mii Shrine (Q11488771),御井神社 (各務原市),各務原市,Q641491,Kakamigahara,Mii Shrine (Kakamigahara)
Mishima Shrine (Q134888252),箕島神社,,,,
Mishima Shrine (Q134926216),三島神社 (南伊豆町下小野),南伊豆町下小野,,,
Mito Shrine (Q11488802),御刀神社,,,,
Miwa Shrine (Q11357406),三輪神社 (津幡町),津幡町,Q432014,Tsubata,Miwa Shrine (Tsubata)
Miyake Shrine (Q11355073),三宅神社 (亀岡市),亀岡市,Q633996,Kameoka,Miyake Shrine (Kameoka)
Miyake Shrine (Q22120521),三宅神社 (鈴鹿市国府町),鈴鹿市国府町,,,
Mononobe Shrine (Q11570699),物部神社 (大田市),大田市,Q20921,Daejeon,Mononobe Shrine (Daejeon)
Mononobe Shrine (Q18235752),物部神社 (名古屋市),名古屋市,Q11751,Nagoya,Mononobe Shrine (Nagoya)
Moritano Shrine (Q11450096),守田迺神社,,,,
Morokuchi Shrine (Q116694076),諸口神社,,,,
Murayama Shrine (Q11523148),村山神社 (亀岡市),亀岡市,Q633996,Kameoka,Murayama Shrine (Kameoka)
Nagahatabe Shrine (Q72727981),長幡部神社 (上里町),上里町,Q1345287,Kamisato,Nagahatabe Shrine (Kamisato)
Nakayama Shrine (Q11364249),中山神社 (美濃加茂市),美濃加茂市,Q857305,Minokamo,Nakayama Shrine (Minokamo)
Ninomiya Shrine (Q134930277),二宮神社 (三宅村),三宅村,Q1154797,Miyake,Ninomiya Shrine (Miyake)
Niukawakami Shrine (Q246370),丹生川上神社,,,,
Nomi Shrine (Q11646128),野見神社 (一宮市),一宮市,Q270810,Ichinomiya,Nomi Shrine (Ichinomiya)
Oi Shrine (Q11493043),意非神社,,,,
Okada Shrine (Q106852596),岡田神社 (松本市),松本市,Q213324,Matsumoto,Okada Shrine (Matsumoto)
Okanoue Shrine (Q48758325),岡上神社,,,,
Okuni Shrine (Q17221549),大國神社 (伊勢崎市),伊勢崎市,Q328596,Isesaki,Okuni Shrine (Isesaki)
Omiya Shrine (Q113679907),大宮神社 (伊豆市),伊豆市,Q696840,Izu,Omiya Shrine (Izu)
Ono Shrine (Q11464225),小野神社 (大津市),大津市,Q202907,Otsu,Ono Shrine (Otsu)
Ono Shrine (Q11464226),小野神社 (東京都府中市),東京都府中市,,,
Ono Shrine (Q17225921),小野神社 (厚木市),厚木市,Q389711,Atsugi,Ono Shrine (Atsugi)
Oono Shrine (Q11439718),大野神社 (一宮市),一宮市,Q270810,Ichinomiya,Oono Shrine (Ichinomiya)
Sahimeyama Shrine (Q11383230),佐毘売山神社,,,,
Saki Shrine (Q56346769),佐紀神社 (奈良市佐紀町字西畑),奈良市佐紀町字西畑,,,
Sakuta Shrine (Q11382602),佐久太神社,,,,
Shibukawa Shrine (Q100544140),渋川神社 (尾張旭市),尾張旭市,Q694893,Owariasahi,Shibukawa Shrine (Owariasahi)
Shirahige Shrine (Q11580504),白鬚神社 (大垣市墨俣町),大垣市墨俣町,,,
Shirahige Shrine (Q124668655),白鬚神社 (各務原市川島笠田町),各務原市川島笠田町,,,
Sugihara Shrine (Q11521781),杉原神社,,,,
Sugiyama Shrine (Q17994294),杉山神社 (横浜市港北区新吉田町),横浜市港北区新吉田町,,,
Susa Shrine (Q11664501),須佐神社 (有田市),有田市,Q657843,Arida,Susa Shrine (Arida)
Suwa Shrine (Q11631934),諏訪神社 (美濃加茂市),美濃加茂市,Q857305,Minokamo,Suwa Shrine (Minokamo)
Suwa Shrine (Q135070129),諏訪神社 (出雲市別所町),出雲市別所町,,,
Taga Shrine (Q11431090),多賀神社 (多賀城市),多賀城市,Q653355,Tagajō,Taga Shrine (Tagajō)
Takahashi Shrine (Q11670742),高椅神社,,,,
Takahashi Shrine (Q24899217),高橋神社,,,,
Takamu Shrine (Q18233534),高牟神社,,,,
Takase Shrine (Q3791906),高瀬神社,,,,
Takehime Shrine (Q65734340),多気比売神社,,,,
Taki Shrine (Q11430618),多伎神社,,,,
Tamanooya Shrine (Q11572731),玉祖神社,,,,
Tamatsukuri Shrine (Q134930396),玉作神社,,,,
Tawa Shrine (Q11430645),多和神社,,,,
Tenjin-sha (Q70725130),天神社 (上里町五明),上里町五明,,,
Toga Shrine (Q17229311),富賀神社,,,,
Tokari Shrine (Q11396948),利雁神社,,,,
Tomi Shrine (Q11602724),等彌神社,,,,
Toyokuni Shrine (Q48758383),豊国神社 (小松島市),小松島市,Q823493,Komatsushima,Toyokuni Shrine (Komatsushima)
Tsukiyomi Shrine (Q54153263),月讀神社 (京田辺市),京田辺市,Q816728,Kyotanabe,Tsukiyomi Shrine (Kyotanabe)
Wakamiya Shrine (Q134930669),若宮神社 (南伊豆町湊),南伊豆町湊,,,
Yagi Shrine (Q11666826),養基神社,,,,
Yana Shrine (Q11471014),山那神社 (扶桑町南山名),扶桑町南山名,,,
Yatsurugi Shrine (Q124496744),八剱神社 (羽島市桑原町八神),羽島市桑原町八神,,,
Yokota Shrine (Q11543413),横田神社 (総社市),総社市,Q873536,Soja,Yokota Shrine (Soja)
Yuge Shrine (Q11487078),弓削神社 (高島市),高島市,Q845794,Takashima,Yuge Shrine (Takashima)
