source,destination
Category:1052年の日本,Category:Japan in 1052
Category:13世紀生,Category:13th-century births
Category:14世紀没,Category:14th-century deaths
Category:1650年の日本,Category:Japan in 1650
Category:17世紀日本の儒学者,Category:17th-century Japanese Confucian scholars
Category:17世紀日本の政治家,Category:17th-century Japanese politicians
Category:17世紀没,Category:17th-century deaths
Category:1815年の日本,Category:Japan in 1815
Category:1873年竣工の建築物,Category:Buildings completed in 1873
Category:1874年開業の施設,Category:Facilities opened in 1874
Category:18世紀日本の儒学者,Category:18th-century Japanese Confucian scholars
Category:18世紀日本の政治家,Category:18th-century Japanese politicians
Category:1900年廃止の政府機関,Category:Government agencies abolished in 1900
Category:1908年竣工の日本の建築物,Category:Japanese buildings completed in 1908
Category:1921年,Category:1921
Category:1950年代廃止の施設,Category:Facilities abolished in the 1950s
Category:1956年廃止の日本の市町村,Category:Japanese municipalities abolished in 1956
Category:1958年廃止の施設,Category:Facilities abolished in 1958
Category:1958年竣工の日本の建築物,Category:Japanese buildings completed in 1958
Category:1969年の舞台作品,Category:1969 stage works
Category:1993年登録の世界遺産,Category:World Heritage Sites inscribed in 1993
Category:1994年竣工の日本の建築物,Category:Japanese buildings completed in 1994
Category:2010年竣工の日本の建築物,Category:Japanese buildings completed in 2010
Category:2019年登録の世界遺産,Category:World Heritage Sites inscribed in 2019
Category:2020年の日本の事件,Category:2020 incidents in Japan
Category:2021年の日本の事件,Category:2021 incidents in Japan
Category:20世紀アジアの女性王族,Category:20th-century Asian female royalty
Category:20世紀アジアの王族,Category:20th-century Asian royalty
Category:20世紀日本の女性 (職業別),Category:20th-century Japanese women (by occupation)
Category:21世紀アジアの女性王族,Category:21st-century Asian female royalty
Category:21世紀アジアの王族,Category:21st-century Asian royalty
Category:21世紀日本の女性 (職業別),Category:21st-century Japanese women (by occupation)
Category:604年の各国,Category:Countries in 604
Category:6世紀アジアの女性王族,Category:6th-century Asian female royalty
Category:6世紀アジアの王族,Category:6th-century Asian royalty
Category:6世紀日本の女性 (職業別),Category:6th-century Japanese women (by occupation)
Category:708年の日本,Category:Japan in 708
Category:733年の日本,Category:Japan in 733
Category:7世紀アジアの女性王族,Category:7th-century Asian female royalty
Category:7世紀アジアの王族,Category:7th-century Asian royalty
Category:7世紀日本の女性 (職業別),Category:7th-century Japanese women (by occupation)
Category:859年創建,Category:Founded in 859
Category:8世紀アジアの女性王族,Category:8th-century Asian female royalty
Category:8世紀アジアの王族,Category:8th-century Asian royalty
Category:8世紀日本の女性 (職業別),Category:8th-century Japanese women (by occupation)
Category:927年の各国,Category:Countries in 927
Category:967年の各国,Category:Countries in 967
Category:9世紀アジアの王族,Category:9th-century Asian royalty
Category:9世紀日本の医師,Category:9th-century Japanese physicians
Category:NHKのアナウンサーのテンプレート,Category:NHK announcer template
Category:あきる野市の歴史,Category:History of Akiruno
Category:あま市の建築物,Category:Buildings in Ama
Category:あま市の歴史,Category:History of Ama
Category:いなべ市の建築物,Category:Buildings in Inabe
Category:おいらせ町の歴史,Category:History of Oirase
Category:お知らせテンプレート,Category:Notice templates
Category:さいたま市の神社,Category:Shinto shrines in Saitama
Category:さいたま市西区の建築物,Category:Buildings in Saitama Nishi ward
Category:さいたま市西区の歴史,Category:History of Saitama Nishi ward
Category:たつの市の画像提供依頼,Category:Image requests for Tatsuno
Category:つくば科学万博,Category:Tsukuba Expo 85
Category:つるぎ町の建築物,Category:Buildings in Tsurugi
Category:つるぎ町の歴史,Category:History of Tsurugi
Category:ひたちなか市の建築物,Category:Buildings in Hitachinaka
Category:まんのう町の建築物,Category:Buildings in Mannō
Category:まんのう町の歴史,Category:History of Mannō
Category:みやき町の建築物,Category:Buildings in Miyaki
Category:みやき町の歴史,Category:History of Miyaki
Category:めざましテレビのリポーターのテンプレート,Category:Mezamashi TV reporter template
Category:アクセシビリティ・テンプレート,Category:Accessibility templates
Category:アジアの女性 (世紀別),Category:Asian women (by century)
Category:アジアの通信,Category:Asian communications
Category:アジア関連のテンプレート,Category:Asia-related templates
Category:ウィキプロジェクト 文化遺産保護制度,Category:WikiProject Cultural heritage protection systems
Category:ウィキプロジェクト 紀年法,Category:WikiProject Chronology
Category:ウィキプロジェクト用テンプレート,Category:WikiProject templates
Category:ウィキプロジェクト用バナー,Category:WikiProject banners
Category:ウィキプロジェクト軍事史テンプレート,Category:WikiProject military history templates
Category:ウィキペディアのModule,Category:Wikipedia modules
Category:オホーツク文化,Category:Okhotsk culture
Category:オートバイ,Category:Motorcycles
Category:コモンズと重複しているメディア,Category:Media duplicated on Wikimedia Commons
Category:サービス業,Category:Service industry
Category:スポーツのナビゲーションテンプレート,Category:Sports navigation templates
Category:テンプレートによって追加されるカテゴリ,Category:Categories added by templates
Category:テンプレートスタイル,Category:Template styles
Category:テンプレート用テンプレート,Category:Meta templates
Category:ニューレフトの思想・文化,Category:New Left thought and culture
Category:プロテスタントの信者 (世紀別),Category:Protestant believers (by century)
Category:ホスピタリティ産業,Category:Hospitality industry
Category:ユーザーへの警告テンプレート,Category:User warning templates
Category:ユーモア,Category:Humor
Category:レイアウト用テンプレート,Category:Layout templates
Category:中之条町の建築物,Category:Buildings in Nakanojo
Category:中之条町の歴史,Category:History of Nakanojo
Category:中国の思想史,Category:History of Chinese thought
Category:中国史関連のテンプレート,Category:China history-related templates
Category:中国四十九薬師霊場,Category:Forty-nine Yakushi temple pilgrimage in Chūgoku
Category:中国地方にある日本庭園,Category:Japanese gardens in Chūgoku region
Category:中国百名山,Category:100 Famous Mountains of Chūgoku
Category:中央地区 (尼崎市),Category:Central district (Amagasaki)
Category:中河内郡,Category:Nakakawachi District
Category:中津川市の神社,Category:Shinto shrines in Nakatsugawa
Category:伊香保温泉郷,Category:Ikaho hot spring area
Category:会津美里町の建築物,Category:Buildings in Aizumisato
Category:会津美里町の歴史,Category:History of Aizumisato
Category:会津若松市の建築物,Category:Buildings in Aizuwakamatsu
Category:但馬国の人物,Category:People of Tajima Province
Category:但馬国の城,Category:Castles of Tajima Province
Category:位階制度,Category:Rank and honour system
Category:佐久市の歴史,Category:History of Saku
Category:佐賀市の歴史,Category:History of Saga
Category:佐賀県にある国指定の史跡,Category:National historic sites in Saga Prefecture
Category:佐賀県の古墳,Category:Kofun in Saga Prefecture
Category:佐賀県内の市町村指定有形文化財,Category:Municipal designated tangible cultural properties in Saga Prefecture
Category:佐那河内村の建築物,Category:Buildings in Sanagochi
Category:佐那河内村の歴史,Category:History of Sanagochi
Category:信太郡,Category:Shiota District
Category:倉吉市の建築物,Category:Buildings in Kurayoshi
Category:倉敷市の神社,Category:Shinto shrines in Kurashiki
Category:備前四十八ヶ寺,Category:Forty-eight temples of Bizen
Category:備後福山藩,Category:Fukuyama Domain
Category:元号テンプレート,Category:Era name templates
Category:元寇,Category:Mongol invasions of Japan
Category:先代次代系テンプレート,Category:Successive dynasty templates
Category:光市の歴史,Category:History of Hikari
Category:児玉郡の画像提供依頼,Category:Image requests for Kodama District
Category:入浴剤,Category:Bath additives
Category:八丈町の建築物,Category:Buildings in Hachijo
Category:八丈町の歴史,Category:History of Hachijo
Category:八坂神社,Category:Yasaka Shrine
Category:八坂神社 (北九州市),Category:Yasaka Shrine (Kitakyushu)
Category:八女古墳群,Category:Yame kofun group
Category:八女市の画像提供依頼,Category:Image requests for Yame
Category:八尾 (八尾市),Category:Yao (Yao City)
Category:八幡信仰,Category:Hachiman faith
Category:八戸藩,Category:Hachinohe Domain
Category:八郎潟町の建築物,Category:Buildings in Hachirogata
Category:八郎潟町の歴史,Category:History of Hachirogata
Category:八部衆,Category:Eight heavenly kings
Category:六道,Category:Six realms
Category:共同浴場,Category:Public bathhouses
Category:兵庫県にある国指定の史跡,Category:National historic sites in Hyogo Prefecture
Category:兵庫県のテンプレート,Category:Hyogo Prefecture templates
Category:兵庫県の古墳,Category:Kofun in Hyogo Prefecture
Category:兵庫県の祭り,Category:Festivals in Hyogo Prefecture
Category:兵庫県の花火大会,Category:Fireworks festivals in Hyogo Prefecture
Category:兵庫県内の市町村指定史跡,Category:Municipal designated historic sites in Hyogo Prefecture
Category:内部テンプレート,Category:Internal templates
Category:出来事別の人物,Category:People by type of event
Category:出水市の建築物,Category:Buildings in Izumi
Category:出水市の歴史,Category:History of Izumi
Category:出石小出家,Category:Izushi Koide family
Category:出雲崎町の建築物,Category:Buildings in Izumozaki
Category:出雲崎町の歴史,Category:History of Izumozaki
Category:出雲市の建築物,Category:Buildings in Izumo
Category:函南町の建築物,Category:Buildings in Kannanmachi
Category:函南町の歴史,Category:History of Kannanmachi
Category:別府八湯,Category:Eight hot springs of Beppu
Category:別府市の歴史,Category:History of Beppu
Category:利島村の歴史,Category:History of Toshima
Category:利府町の建築物,Category:Buildings in Torio
Category:利府町の歴史,Category:History of Torio
Category:利根町の建築物,Category:Buildings in Tone
Category:利根町の歴史,Category:History of Tone
Category:前橋市の歴史,Category:History of Maebashi
Category:前近代の日本の中国系文化,Category:Pre-modern Sino-Japanese culture
Category:前近代の日本の朝鮮人,Category:Pre-modern Koreans in Japan
Category:前近代の朝鮮系日本人,Category:Pre-modern Korean-Japanese people
Category:前野氏,Category:Maeno clan
Category:加古川市の建築物,Category:Buildings in Kakogawa
Category:加古川市の歴史,Category:History of Kakogawa
Category:加茂市の建築物,Category:Buildings in Kamo
Category:加茂市の歴史,Category:History of Kamo
Category:加賀市の歴史,Category:History of Kaga
Category:勅願寺,Category:Imperial Buddhist temples
Category:北仙台,Category:Kita-Sendai
Category:北信越地方開催の冬季イベント,Category:Winter events in Hokushinetsu region
Category:北杜市の歴史,Category:History of Hokuto
Category:北海道 (令制),Category:Hokkaido (as a provincial designation)
Category:北海道の無人島,Category:Uninhabited islands of Hokkaido
Category:医薬部外品,Category:Quasi-drugs
Category:千種区の建築物,Category:Buildings in Chikusaku
Category:千種区の歴史,Category:History of Chikusaku
Category:千葉市の神社,Category:Shinto shrines in Chiba
Category:千葉市中央区の建築物,Category:Buildings in Chuo ward, Chiba
Category:千葉市中央区の歴史,Category:History of Chuo ward, Chiba
Category:千葉氏,Category:Chiba clan
Category:千葉県にある国指定の史跡,Category:National historic sites in Chiba Prefecture
Category:千葉県のテンプレート,Category:Chiba Prefecture templates
Category:千葉県の古墳,Category:Kofun in Chiba Prefecture
Category:千葉県の国宝,Category:National treasures in Chiba Prefecture
Category:千葉県の旧無格社,Category:Former unranked shrines in Chiba Prefecture
Category:南アルプス市の建築物,Category:Buildings in Minami-Alps
Category:南アルプス市の歴史,Category:History of Minami-Alps
Category:南伊豆町の建築物,Category:Buildings in Minamiizu
Category:南伊豆町の歴史,Category:History of Minamiizu
Category:南国市の建築物,Category:Buildings in Nankoku
Category:南山名,Category:Minaminayama
Category:南房総市の建築物,Category:Buildings in Minamiboso
Category:南房総市の歴史,Category:History of Minamiboso
Category:南砺市の建築物,Category:Buildings in Nanto
Category:南砺市の歴史,Category:History of Nanto
Category:即位式,Category:Enthronement ceremony
Category:厚木市の建築物,Category:Buildings in Atsugi
Category:厚木市の歴史,Category:History of Atsugi
Category:収集展示施設のテンプレート,Category:Collection and display facility templates
Category:古代日朝関係,Category:Ancient Japan-Korea relations
Category:古代日本の教育機関,Category:Educational institutions in ancient Japan
Category:古代日本の称号,Category:Titles in ancient Japan
Category:古墳時代以前の女性皇族,Category:Female imperial family members before the Kofun period
Category:古殿町の建築物,Category:Buildings in Furutone
Category:古殿町の歴史,Category:History of Furutone
Category:古河藩の人物,Category:People of Koga Domain
Category:古都京都の文化財,Category:Cultural properties of Kyoto
Category:台東区の寺,Category:Temples in Taito ward
Category:台東区の神社,Category:Shinto shrines in Taito ward
Category:台湾の土木史,Category:Civil engineering history of Taiwan
Category:台湾の文化史,Category:Cultural history of Taiwan
Category:台湾の科学技術史,Category:Science and technology history of Taiwan
Category:台湾美術史,Category:Art history of Taiwan
Category:各世紀のキリスト教徒,Category:Christians by century
Category:各世紀の人物 (国と職業別),Category:People by century (by country and occupation)
Category:各世紀の人物 (国別),Category:People by century (by country)
Category:各世紀の人物 (職業別),Category:People by century (by occupation)
Category:各世紀の医師,Category:Physicians by century
Category:各世紀の后妃,Category:Consorts and concubines by century
Category:各世紀の君主,Category:Monarchs by century
Category:各世紀の学者,Category:Scholars by century
Category:各世紀の教育者,Category:Educators by century
Category:各世紀の科学者,Category:Scientists by century
Category:各世紀の詩人,Category:Poets by century
Category:各世紀アジアの君主,Category:Asian monarchs by century
Category:各国の企業,Category:Companies by country
Category:各国の通信,Category:Communications by country
Category:吉田町の建築物,Category:Buildings in Yoshida
Category:吉田町の歴史,Category:History of Yoshida
Category:吉野・大峯,Category:Yoshino and Ōmine
Category:吉野川市の建築物,Category:Buildings in Yoshinogawa
Category:吉野川市の歴史,Category:History of Yoshinogawa
Category:吉野町の建築物,Category:Buildings in Yoshino
Category:吉野町の歴史,Category:History of Yoshino
Category:同名の神社,Category:Shinto shrines with the same name
Category:名取市の建築物,Category:Buildings in Natori
Category:名取市の歴史,Category:History of Natori
Category:名古屋市の重要文化財,Category:Important cultural properties in Nagoya
Category:名古屋市中区の歴史,Category:History of Naka ward, Nagoya
Category:名古屋市北区の建築物,Category:Buildings in Kita ward, Nagoya
Category:名古屋市北区の歴史,Category:History of Kita ward, Nagoya
Category:名古屋市南区の建築物,Category:Buildings in Minami ward, Nagoya
Category:名古屋市南区の歴史,Category:History of Minami ward, Nagoya
Category:名古屋市東区の建築物,Category:Buildings in Higashi ward, Nagoya
Category:名古屋市東区の歴史,Category:History of Higashi ward, Nagoya
Category:名古屋市緑区の歴史,Category:History of Midori ward, Nagoya
Category:名古屋市西区の建築物,Category:Buildings in Nishi ward, Nagoya
Category:名古屋市西区の歴史,Category:History of Nishi ward, Nagoya
Category:名古屋市都市景観重要建築物等,Category:Important buildings and areas in Nagoya's urban landscape
Category:名張市の建築物,Category:Buildings in Nabari
Category:名張市の歴史,Category:History of Nabari
Category:名数26,Category:26-fold associations
Category:名数3,Category:3-fold associations
Category:名数72,Category:72-fold associations
Category:名水百選,Category:100 Selected waters of Japan
Category:名草郡,Category:Nagu District
Category:味美古墳群,Category:Ajimi kofun group
Category:味鋺,Category:Ajihara
Category:和歌山県のテンプレート,Category:Wakayama Prefecture templates
Category:和歌山県の二級河川,Category:Class 2 rivers in Wakayama Prefecture
Category:和歌山県の祭り,Category:Festivals in Wakayama Prefecture
Category:和歌山県を舞台とした小説,Category:Novels set in Wakayama Prefecture
Category:和歌山県内の市町村指定史跡,Category:Municipal designated historic sites in Wakayama Prefecture
Category:和歌山県内の市町村指定有形文化財,Category:Municipal designated tangible cultural properties in Wakayama Prefecture
Category:和気氏,Category:Wake clan
Category:哲学史研究者,Category:Philosophy historians
Category:唐津藩,Category:Karatsu Domain
Category:四国中央市の建築物,Category:Buildings in Shikoku Central
Category:四国中央市の歴史,Category:History of Shikoku Central
Category:四国八十八箇所番外霊場,Category:Shikoku Eighty-eight temples, non-numbered temples
Category:四国地方の氏族,Category:Clans in Shikoku region
Category:四條畷市の歴史,Category:History of Shimehara
Category:囲碁ゆかりの地,Category:Places related to Go
Category:園田地区,Category:Sonoda district
Category:園部藩,Category:Sonobe Domain
Category:土佐郡,Category:Tosa District
Category:土器,Category:Pottery
Category:土浦市の建築物,Category:Buildings in Tsuchiura
Category:土浦市の歴史,Category:History of Tsuchiura
Category:地域団体商標,Category:Regional collective trademarks
Category:坂井市の建築物,Category:Buildings in Sakai
Category:坂井市の歴史,Category:History of Sakai
Category:坂城町の建築物,Category:Buildings in Sakashiro
Category:坂城町の歴史,Category:History of Sakashiro
Category:坂祝町の建築物,Category:Buildings in Sakahogi
Category:坂祝町の歴史,Category:History of Sakahogi
Category:垂井町の建築物,Category:Buildings in Tarui
