Wikidata QID,Number of Pages,Pages
Q10123258,2,Category:Japanese legal compendia; Category:Legal compendia
Q10126436,2,Category:History of Tsuyama; Category:History of Tsuyama City
Q10225252,2,Category:Fukui Domain; Category:Fukui domain
Q104539297,2,Izumo no Iwai Shrine (disambiguation); Izumo-no-Iwai Shrine (Yorii Town)
Q106478123,2,Chikata Shrine (Kanda); Chikatsu Shrine (Ono)
Q107022358,2,Tate Shrine; Tate Shrine (Tsurugi)
Q10933259,4,Sexagenary cycle german style; Template:Sexagenary cycle; Template:Sexagenary cycle comprehensive; Template:Ten Heavenly Stems and Earthly Branches
Q110066542,2,Template:Beppyo Shrines; Template:近代社格制度
Q11255725,3,Tsuruno-yu Onsen (Akita); Tsuruno-yu Onsen (Hokkaido); Tsurunoyu Onsen
Q11277704,2,Sangoku Sōden In'yō Kankatsu Hoki Naiden Kin'u Gyokuto Shū; Shinnaiden
Q113498608,2,Sagiyama Kofun; Sagiyama Kofun (Tottori)
Q113498764,2,Isezuka Kofun; Isezuka Kofun (Chūō City)
Q11356650,2,Mikumano Shrine; Mikumano Shrine (Kakegawa)
Q11361047,2,Shimotsuke no Komaro; Shimotsukeno no Komaro
Q11364246,2,Nakayama Shrine; Nakayama Shrine (Tottori Daisen)
Q11369609,2,Kume no Miagata Shrine; Kumenomiagata Shrine
Q11371433,2,Futatsuzuka Kofun (Sendai); Futazuka Kofun (disambiguation)
Q11381233,2,Hakusan-yabu Kofun; Ōtsukayama Kofun
Q11381529,2,Tomobayashi Shrine; Tomobayashiuji Shrine
Q11387088,2,Shidori Shrine (Fujinomiya); Shizuri Shrines
Q11387216,2,Kenmunakata Tomino Mikoto Hikokamiwake Shrine; Takeminakata Tomi no Mikoto Hikokamiwake Shrine (Nagano City Hako Shimizu)
Q11392794,2,Hyōzu Shrine (Tanba); Hyōzu Shrine (disambiguation)
Q11398386,2,Tsurugi Shrine; Tsurugi Shrine (Hōfu)
Q11432211,2,Oi Shrine; Oi Shrine (disambiguation)
Q11432350,2,"Ōtomo Shrine (Saku); Ōtomo Shrine (Saku, Mochizuki)"
Q11433996,2,Ōtsuka Kofun Cluster (Ichikawa Misato Town); Ōtsuka Kofun Cluster (disambiguation)
Q11437359,2,Ōtsu Shrine; Ōtsu Shrine (Ise)
Q11437361,2,Otsu Shrine; Ōtsu Shrine (Habikino)
Q11451878,2,Munakata Shrine; Munakata Shrine (Sakurai)
Q11459658,2,"Omuro Sengen Shrine; Omuro Sengen Shrine (Ōasomi, Fujiyoshida)"
Q11468880,2,Yamamoto Hachimangū; Yamamoto Hachimangū (Yao City)
Q11470054,2,Kurikara sword; Sannō Gongen
Q11481301,2,Tokoyo-Hime Shrine; Tokoyokihime Shrine
Q11483495,2,Heguri Nimasukishi Shrine; Heguri-nimasu Kishi Shrine
Q11489356,2,"Goryo Shrine; Goryō Shrine (Hatori, Fujisawa)"
Q11491513,2,"Shikobuchi Jinja (Takashima City, Azumi-gawa Town, Nakano); Shikobuchi Shrine"
Q11493038,2,Okami Shrine (Hirakata); Okami Shrine (Kishiwada)
Q11496923,2,Tajikarao Shrine; Tejikarao Shrine (Kakamigahara)
Q11505112,2,Himukai Daijingu; Himukai-daijingū
Q11515320,2,Kai Fudoki Hill; Yamanashi Prefecture Sone Kyuryo Park
Q11516217,2,Tsukiyomi Shrine; Tsukiyomi Shrine (Kyoto)
Q11517327,2,Asakura Shrine; Asakura Shrine (Kōchi)
Q11537864,2,Sakurai Shrine; Sakurai Shrine (Sakai)
Q11545333,2,Todorokihimenomikoto Shrine; Totoro-hime-no-Mikoto Shrine
Q11554895,2,Izumi Shrine; Izumi Shrine (Maibara)
Q11561325,2,Kiyotaki Shrine; Kiyotaki Shrine (Urayasu City)
Q11571754,2,Rebellion of Sahohime and Sahohiko; Saho-hime
Q11572773,2,Tamawakasu-no-mikoto Shrine; Tamawakasumikoto Shrine
Q11585337,2,Isononimasu-takumushitama Shrine; Iwazononiimasu Takumushitama Shrine
Q11587134,2,Ishigami Shrine (Kashiwabara); Iwa Shrine
Q11591203,2,Magatsuhi-no-kami; Ōmagatsuhi-no-Kami
Q115931761,2,Kabutozuka Kofun; Kabutozuka Kofun (Shimotsuke)
Q11597137,2,Sekigawa Shrine (Kishiwada); Tsugawa Shrine
Q11603500,3,Tsukiyama Kofun (Setouchi city); Tsukiyama Kofun (Yamatotakada); Tsukiyama Kofun (disambiguation)
Q11608777,2,Migukurumitama Shrine; Mikukurumitama Shrine
Q11621649,2,Rendaiji (Kurashiki); Yugasan Rendaiji
Q11624431,2,Fujinomori Shrine (Kyoto); Fujinomori Shrine (Settsu)
Q11625900,2,Aritōshi Shrine; Aritōshi Shrine (Izumisano)
Q11631426,2,Konda Hachimangu; Konda Hachimangū
Q11635409,2,Akasaka Tennozan Kofun; Tennōzan Kofun (Sakurai)
Q11636077,2,Hashirimizu Shrine; Hashirimizu Shrine (Yokosuka)
Q11643221,2,Kirime Ōji Shrine; Kōto Ōji Shrine
Q11646488,2,Category:Kotohira shrines; Kotohira shrines
Q11653315,2,Nagahama Shrine (Izumo); Nagahama Shrine (Ōita)
Q11658220,2,Baizuka; Hachizuka Kofun (Fujidera)
Q11660190,2,Raijin Shrine; Raijin Shrine (Asahi City)
Q11675614,2,Kamo Tsuba Shrine; Kamotsuba Shrine
Q123407865,2,Shinra Shrine; Shinra Shrine (Tajimi City)
Q123407867,2,"Kawashimo Shrine; Kawashimo Shrine (Hakodate, Nezaki Town)"
Q123530063,2,Kaijin Shrine (Kinokawa); Watatsumi Shrine (disambiguation)
Q125475295,2,Template:Atago Faith; Template:Mizuhanome Faith
Q125760650,2,Category:Cultural heritage monuments (buildings); Category:Cultural heritage monuments in Japan
Q128845623,2,Yutani Shrine; Yutani Shrine (Maibara)
Q134888891,2,Kushitama Hime-no-Mikoto Shrine; Kushitamahime-no-Mikoto Shrine
Q134928443,2,Chikatsu Shrine (Shimotsuma); Chikatsu Shrine (Tsukuba)
Q14399047,2,Template:節リンク; Template:節リンク/doc
Q1466105,2,Hirota Shrine; Hirota Shrine (Osaka City)
Q15924016,2,Category:Former Higher Education Institutions in Japan; Category:Higher education institutions in the Empire of Japan
Q16277320,2,Ishii Shrine; Ishii Shrine (Izumozaki)
Q17193235,2,Ichitani Munakata Shrine; Ichitanidani Munakata Shrine
Q17209039,2,Kawachi no Ōkimi (Late Nara period); Kawachi-no-Mikoto
Q17278451,2,Template:Tōshōke families; Template:堂上家一覧
Q17503100,2,Chausuzuka Kofun; Chausuzuka Kofun (Yame)
Q18337610,2,Nasu Ogawa Kofun Cluster; Nasu Ogawa Kofun Group
Q18722406,2,Category:Architecture of Maebashi City; Category:Buildings in Maebashi
Q18723336,2,"Category:History of Sakai Ward; Category:History of Sakai-ku, Sakai"
Q18727468,2,"Category:History of Setouchi; Category:History of Setouchi, Okayama"
Q18738043,2,"Category:Buildings in Chigasaki City; Category:Buildings in Chigasaki, Kanagawa"
Q18739329,2,Category:Buildings in Toyooka; Category:Buildings in Toyooka City
Q18989641,2,Hachizuka Kofun; Hachizuka Kofun (Ikeda)
Q191763,2,Itsukushima Shrine; Itsukushima Shrine (Sumoto City)
Q195793,2,Bunrei; Kanjō
Q20044399,2,"Goryo Shrine (Miyamae, Fujisawa); Goryō Shrine (Miyamae, Fujisawa)"
Q21059296,2,"Category:Buildings in Hanno City; Category:Buildings in Hanno, Saitama"
Q22070227,2,Hime Shrine; Himegami
Q246455,2,Tatsuta Shrine; Tatsuta Taisha
Q2483673,2,Kuni no miyatsuko; List of Kuni no Miyatsuko
Q24859313,2,Category:Ancient Japan-Korea relations; Category:Japan–Korea Relations in Antiquity
Q27069652,2,"Category:Buildings in Kanagawa Ward; Category:Buildings in Kanagawa-ku, Yokohama"
Q28091512,2,"Category:Buildings in Higashiyama Ward; Category:Buildings in Higashiyama-ku, Kyoto"
Q28467749,2,"Category:Buildings in Kokura-Kita Ward; Category:Buildings in Kokurakita-ku, Kitakyushu"
Q28696262,2,Category:Buildings in Fukushima Prefecture by Municipality; Category:Buildings in Fukushima prefecture by municipality
Q30627874,2,Category:Archaeological Sites in Japan by Prefecture; Category:Archaeological sites in Japan by prefecture
Q30627978,2,Category:Archaeological Sites in Japan by Period; Category:Archaeological sites in Japan by period
Q30925678,2,Katatsuka Kofun (Shimotsuke); Kōzuka Kofun (Shimotsuke)
Q32660229,2,"Category:Buildings in Itoshima City; Category:Buildings in Itoshima, Fukuoka"
Q3313076,2,Miho Shrine; Mihotsuhime-no-Mikoto
Q3594054,2,Ōta Shrine; Ōta Shrine (Setana)
Q55522721,2,Katayama Shrine; Katayama Shrine (Suita)
Q55536799,2,Ikagashiko-o; Omine no Mikoto
Q60581,2,Hōnensai; Tagata Shrine
Q65259223,2,Tenman Tenjingu; Tenman Tenjingu (Ichikawa City)
Q6545249,2,Category:11th-century deaths; Category:11世紀没
Q6590963,2,Category:Japanese deities; Category:Japanese gods
Q692714,2,Yasaka Shrine; Yasaka Shrine (Hino City)
Q703633,2,Hikawa Shrine (Itabashi); Hikawa Shrine (Saitama)
Q705151,2,Ōtori Taisha; Ōtori taisha
Q705281,2,Hirose Shrine; Hirose Taisha
Q705949,2,Sumiyoshi Taisha; Sumiyoshi-taisha
Q798838,2,Choraku-ji Tenmangū; Tenmangū
Q818468,2,Benzaiten; Benzaiten shrines
Q85593661,2,Hyōzu Shrine; Hyōzu Shrine (Kishiwada)
Q871375,2,Iwaki Shrine; Iwakiyama Shrine
Q91088537,2,Ame no Murakumo; Ame-no-Oshikumone
Q9590724,2,Category:Historic monuments of ancient Nara; Category:Historic monuments of ancient capital Nara
Q9597493,2,Category:Former Prefectural Shrines in Wakayama Prefecture; Category:Former Prefectural Shrines of Wakayama
Q9600900,2,Category:Imperial Shrines; Category:Kokuhei Taisha
Q9617427,2,"Category:History of Tenri City; Category:History of Tenri, Nara"
Q9634239,2,Category:Former Prefectural Shrines in Yamagata Prefecture; Category:Former Prefectural Shrines of Yamagata Prefecture
Q9635045,2,Category:Former Prefectural Shrines in Yamanashi Prefecture; Category:Former Prefectural Shrines of Yamanashi Prefecture
Q9652471,2,Category:History of Aichi Prefecture by Municipality; Category:Municipal History of Aichi Prefecture
Q97220447,2,Heguri Shrine; Heguri Shrine (Kuwana)
